date,in_value,out_value
2023-04-27,152222.28988558022,129545.96953912801
2023-04-28,42173.93132707196,23492.886847492882
2023-04-30,14884.854056151016,5819.174481024651
2023-05-07,13630.042098380913,2962.057728779712
2023-05-13,20378.7056895403,4205.62714858843
2023-05-14,58287.6633931669,52019.78639192787
2023-05-15,41214.49243229792,13436.991262830225
2023-05-18,77048.98720640091,12049.475254978322
2023-05-20,8672.31056198033,587.6993101643568
2023-05-21,26211.88204490974,12158.73055452756
2023-05-22,13204.904277543617,4041.750822377281
2023-05-26,758867.6604730235,23569.063975143872
2023-06-02,34953.27623685601,9220.844288574357
2023-06-03,4227.852728074466,449.6652363896007
2023-06-04,5929.413056582806,548.0224192571936
2023-06-07,1136512.136769498,9063.597843022848
2023-06-09,74337.75403598032,6345.89839573176
2023-06-10,872416.7821883515,289422.67582669953
2023-06-15,348011.8305577476,108057.29268502
2023-06-16,315840.223042682,117492.68996136353
2023-06-17,66134.18888187213,8480.445594695087
2023-06-18,10666.30560096352,1978.5707798181334
2023-06-19,60700.880430934936,18251.59742750853
2023-06-21,246812.33617534858,121245.35007039378
2023-06-23,98514.07592801916,31041.08637266843
2023-06-24,33539.94998710358,12368.819953192815
2023-06-25,408495.0561214845,133109.6420550602
2023-06-28,1103248.693008769,290687.7356244612
2023-06-30,63905.96611408842,32218.03219923486
2023-07-01,8256.183557809734,1471.330016209061
2023-07-02,4968.842184678785,951.3790263964875
2023-07-07,19388.616431639093,7587.521854866176
2023-07-08,4697.5767609892455,515.6298077381683
2023-07-09,28078.66468040871,182.2194216896452
2023-07-11,49236.56405000748,12277.357389926005
2023-07-13,120410.22219310165,39258.37555280606
2023-07-15,12573.185793034041,1715.247240451153
2023-07-16,2417.7162101771873,331.990670622802
2023-07-18,83204.95143414076,21789.965954648535
2023-07-21,47315.58945098069,28813.414111995095
2023-07-22,17175.70440922796,3061.9636082575216
2023-07-23,3207.346056441609,1006.8418728711224
2023-08-10,21050.293120397277,3177.909141980761
2023-08-16,15359.66170572603,11140.802098386135
